sample_id,sample_labid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,fat,drit,hn_rtpcr,rt_rtpcr_assay,rt_rtpcr,lft,test_centre,diagnostic_result,diag_notes,ngs_sampleid,ngs_runid,ngs_rundate,ngs_country,ngs_location,ngs_submission,ngs_platform,illumina_platform,nanopore_platform,ngs_analysis_type,ngs_merged_from,ngs_flowcell,ngs_library_type,primer_scheme,ngs_barcode,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genomecov_depthx200,Genbank_accession,consensus_version,unmasked_consensus_coverage,consensus_coverage,consensus_fasta,ngs_notes
Rab12/039,SUB6971,,SUB6971,,Brain,,,Negative,,,,25.96,,APHA,Positive,,RAB12/039,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1139368,30035,655.4566804,276.6255381,601,1,1690,11923,11914,11898,11892,,,best,,99.92451564,,
Rab16/024,SUB7090,Nov16_tvla,SUB7090,,Brain,PBSwash,,,,Pos1,,20.08,,TVLA;APHA,Positive,,RAB16/024,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1381478,42008,913.5986748,488.3392911,785,0,2963,11921,11914,11888,11828,,,best,,99.92451564,,
Rab16/025,SUB7091,Nov16_tvla,SUB7091,,Brain,,,,,,,23.87,,TVLA;APHA,Positive,,RAB16/025 POOLED 2-STEP,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,NA,amplicon,,,1771514,1741920,6971.289524,1605.330846,7787,0,8000,11862,11861,11861,11836,,,,,99.47999665,,2step RT
Rab16/025,SUB7091,Nov16_tvla,SUB7091,,Brain,PBSwash,,,,,,23.87,,TVLA;APHA,Positive,,RAB16/025,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,NA,metagenomic,,,753363,9053,187.3479829,108.8579315,158,0,475,11920,11914,11887,8803,,,,,99.92451564,,
Rab16/025,SUB7091,Nov16_tvla,SUB7091,,Brain,,,,,,,23.87,,TVLA;APHA,Positive,,RAB16/025 POOLED 1-STEP,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,NA,amplicon,,,1350814,1294153,3257.678353,3103.796812,2373,0,7998,11649,11144,10830,9079,,,,,,,1step RT
Rab16/025,SUB7091,Nov16_tvla,SUB7091,,Brain,PBSwash,,,,,,23.87,,TVLA;APHA,Positive,,RAB16/025,apha_jan17,23-Feb-17,UK,APHA,NGS_sub251_Jan17,nanopore,,minion,single_run,,FNFAF14357,amplicon,,none,54146,45726,675.5576617,296.7644854,653,0,1510,11880,11877,11868,11723,,MN726826,best,,,,RAB16/025: 2-STEP MINION
Rab16/026,SUB7092,Nov16_tvla,SUB7092,,Brain,PBSwash,,,,Pos1,,25.16,,TVLA;APHA,Positive,,RAB16/026,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1582985,4970,99.36593139,56.77707731,82,2,275,11923,11914,11568,4622,,,best,,99.92451564,,
Rab16/027,SUB7093,Nov16_tvla,SUB7093,,Brain,PBSwash,,,,Pos1,,22.24,,TVLA;APHA,Positive,,RAB16/027,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1167376,9676,216.7618888,147.8778675,167,0,787,11914,11912,11852,10154,,,best,,99.90774134,,
Rab16/028,SUB7094,Nov16_tvla,SUB7094,,Brain,PBSwash,,,,Pos1,,23.37,,TVLA;APHA,Positive,,RAB16/028,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,930400,18318,402.4688417,177.6466099,366,1,1127,11923,11920,11911,11805,,,best,,99.97483855,,
Rab16/029,SUB7095,Nov16_tvla,SUB7095,,Brain,PBSwash,,,,Pos1,,22.88,,TVLA;APHA,Positive,,RAB16/029,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,918068,18001,395.5563197,214.0171907,336,0,1242,11922,11914,11879,11754,,,best,,99.92451564,,
Rab16/038,SUB7096,Nov16_tvla,SUB7096,,Brain,PBSwash,,,,,,22.89,,TVLA;APHA,Positive,,RAB16/038,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,622211,286,3.885096033,3.331192672,3,0,23,10555,4071,38,0,,,best,,34.14409125,,
Rab3/11(D11-145)1656,RV2780,11-May,SUB1656,RV2780,Brain,,,,,Pos1,,,,APHA;CVL,Positive,,RV2780,454_suspicious,26-Jul-13,UK,APHA,,454,,,single_run,,NA,metagenomic,,,869,869,19.57653275,7.938685273,19,0,39,11902,11781,5843,0,,KR906751,best,,98.80902457,,
SD180/ITUSDC0511,RV2867,11-Dec,SUB2475,RV2867,Brain,,,,,Pos1,,,,APHA,Positive,,RV2867,GA_dep,1-Aug-12,UK,APHA,,GAIIx,GAIIx,,single_run,,NA,metagenomic,,,2964899,2861,18.65335905,6.884909143,17,2,43,11923,11889,4386,0,,KY210229,best,,99.71483687,,
SD185/MBKSDC0611,RV2871,11-Dec,SUB2480,RV2871,Brain,,,,,Pos1,,,,APHA,Positive,,RV2871,454amp,8-Jul-12,UK,APHA,FT5146,454,,,single_run,,NA,amplicon,,,46362,8416,25.33506668,31.81878948,9,1,170,11923,8573,4000,401,,KR906769,best,,71.90304454,,
SD199/RGBSDC0711,RV2882,11-Dec,SUB2494,RV2882,Brain,,,,,Pos1,,,,APHA,Positive,,RV2882,GA_dep,1-Aug-12,UK,APHA,,GAIIx,GAIIx,,single_run,,NA,metagenomic,,,2895563,34351,88.57946825,14.11354088,90,12,126,11923,11923,11906,2362,,KY210238,best,,100,,
SD203/MBRSDC0711,RV2886,11-Dec,SUB2498,RV2886,Brain,,,,,Pos1,,,,APHA,Positive,,RV2886,454amp,8-Jul-12,UK,APHA,FT5146,454,,,single_run,,NA,amplicon,,,47566,15736,64.01585172,40.84150691,55,1,210,11923,11874,10559,2231,,KY210242,best,,99.58902961,,
SD210/RGBSDC0811,RV2892,11-Dec,SUB2505,RV2892,Brain,,,,,Pos1,,,,APHA,Positive,,RV2892,GA_dep,1-Aug-12,UK,APHA,,GAIIx,GAIIx,,single_run,,NA,metagenomic,,,898252,49249,91.04587772,24.28782269,87,0,159,11883,11883,11858,2513,,KR534247,best,,99.66451396,,
SD294,RV3129,12-Aug,SUB3320,RV3129,Brain,,,,,Pos1,,20.71,,APHA,Positive,,SUB3320,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,1006466,116911,2803.115827,1021.521424,2700,0,6120,11922,11914,11914,11865,,,,,99.92451564,,
SD295,SUB3321,12-Aug,SUB3321,RV3130,Brain,,,,,Pos1,,16.41,,APHA,Positive,,SUB3321,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,2393978,119909,2868.590539,1251.546091,2603,3,6619,11923,11921,11914,11914,,,,,99.9832257,,
SD296,RV3131,12-Aug,SUB3322,RV3131,Brain,,,,,Pos1,,20.62,,APHA,Positive,,SUB3322,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,2242804,9779,230.1003942,197.2265336,152,0,997,11920,11906,11852,10274,,,,,99.85741843,,corrected seq files mislabelled as sub3313
SD379,SUB4666,14-Oct,SUB4666,RV3084,Brain,,,,,Pos2,,31.01,,APHA,Positive,,SUB4666,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,2228066,5039,114.1379686,99.78641847,74,2,532,11923,11920,11833,3578,,,,,99.97483855,,
SD380,RV3085,14-Oct,SUB4667,RV3085,Brain,,,,,Pos1,,20.73,,APHA,Positive,,SUB4667,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,1957128,11827,286.2172272,103.3468358,273,4,621,11923,11914,11898,11716,,,,,99.92451564,,
SD381,SUB4668,14-Oct,SUB4668,RV3086,Brain,,,,,Pos1,,18.95,,APHA,Positive,,SUB4668,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,2129953,52238,1202.321731,691.5207068,990,33,3979,11923,11923,11923,11862,,,,,100,,
SD382,RV3087,14-Oct,SUB4669,RV3087,Brain,,,,,Pos1,,25.39,,APHA,Positive,,SUB4669,deepSeq14,1-Nov-14,UK,APHA,Submission 10 Tanz dogs and FTA card Tajik,illumina,miseq,,single_run,,NA,metagenomic,,,2481555,782,18.00930974,7.736561513,18,0,45,11891,11710,4963,0,,,,,98.21353686,,
SD557,SUB7097,16-Nov,SUB7097,,Brain,RNAlater,,,,NA,,23.84,,APHA,Positive,,SD557,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,296126,10390,178.7759792,121.6451627,149,0,656,11912,11896,11824,8515,,,best,,99.77354693,,
SD563,SUB7104,16-Nov,SUB7104,,Brain,,,,,NA,,24.53,,APHA,Positive,,SD563,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1352684,59,0.787888954,1.025123556,0,0,5,5585,24,0,0,,,best,,0.201291621,,
SD575,SUB7112,16-Nov,SUB7112,,Brain,,,,,NA,,24.75,,APHA,Positive,,SD575,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,451360,3270,68.57686824,46.87156557,55,1,264,11923,11911,11285,2090,,,best,,99.89935419,,
Rab12/005,SUB6955,Nov16_tvla,SUB6955,,Brain,PBSwash,,Positive,,Neg,,31.33,,TVLA;APHA,Positive,,RAB12/005,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1482496,1,0.006374235,0.112733777,0,0,2,38,0,0,0,,,,,0,,from poor magMax extraction
Rab12/016,SUB6957,Nov16_tvla,SUB6957,,Brain,PBSwash,,Positive,,,,20.41,,TVLA;APHA,Positive,,RAB12/016,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3532,5,0.072129498,0.258713059,0,0,1,860,0,0,0,,,best,,0,,from poor magMax extraction
Rab12/066,SUB6987,Nov16_tvla,SUB6987,,Brain,PBSwash,,Positive,,,,18.72,,TVLA;APHA,Positive,,RAB12/066,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2912,0,0,0,0,0,,,,,,,,best,,0,,from poor magMax extraction
Rab16/024,SUB7090,Nov16_tvla,SUB7090,,Brain,PBSwash,,,,Pos1,,20.08,,TVLA;APHA,Positive,,RAB16/024,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3758,0,0,0,0,0,,,,,,,,,,0,,from poor magMax extraction
Rab91(D10-867)1643,RV2772,11-May,SUB1643,RV2772,Brain,,,,,Pos1,,,,APHA;CVL,Positive,,RV2772,reference,,UK,APHA,,454,,,single_run,,NA,metagenomic,,,,,,,,,,,,,,,KF155002,best,,0,,
SD557,SUB7097,16-Nov,SUB7097,,Brain,RNAlater,,,,NA,,23.84,,APHA,Positive,,SUB7097,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2964989,405,9.219323996,5.201633663,8,0,30,11751,9761,490,0,,,,,81.86697979,,
SD557.sg,SUB7098,16-Nov,SUB7098,,Salivary gland,,,,,NA,SYBR,27.58,,APHA,Positive,,SUB7098,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1836269,5,0.108026503,0.371215383,0,0,2,1041,0,0,0,,,best,,0,,SD557.2
SD558,SUB7100,16-Nov,SUB7100,,Brain,,,,,NA,SYBR,35.75,,APHA,Inconclusive,,SUB7100,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,4137738,12214,240.6302944,122.7722213,198,0,675,11910,11880,11833,11511,,,best,,99.63935251,,
SD560,SUB7101,16-Nov,SUB7101,,Brain,,,,,NA,SYBR,30.8,,APHA,Positive,,SUB7101,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,4141198,4301,90.68271408,40.87860834,83,0,220,11892,11835,11687,4313,,,best,,99.26193072,,
SD562,SUB7103,16-Nov,SUB7103,,Brain,,,,,NA,SYBR,no ct,,APHA,Negative,,SUB7103,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1318611,2,0.036819592,0.262713346,0,0,2,239,0,0,0,,,best,,0,,
SD564,SUB7105,16-Nov,SUB7105,,Brain,,,,,NA,,18.42,,APHA,Positive,,SUB7105,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2224064,224,5.067768179,4.194655967,4,0,29,11015,5569,136,0,,,best,,46.70804328,,
SD565,SUB7106,16-Nov,SUB7105,,Brain,,,,,NA,SYBR,no ct,,APHA,Negative,,SUB7106,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3235828,0,0,0,0,0,,,,,,,,,,0,,
SD571,SUB7108,16-Nov,SUB7108,,Brain,,,,,NA,SYBR,31.84,,APHA,Positive,,SUB7108,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1771614,1655,38.67885599,15.98210641,37,0,80,11839,11703,10879,0,,,best,,98.15482681,,
SD572,SUB7109,16-Nov,SUB7109,,Brain,,,,,NA,SYBR,33.46,,APHA,Inconclusive,,SUB7109,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3068817,685,15.01283234,10.20333879,12,0,55,11737,10737,3517,0,,,best,,90.05283905,,
SD572.sg,SUB7110,16-Nov,SUB7110,,Salivary gland,,,,,NA,SYBR,30.11,,APHA,Positive,,SUB7110,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1097110,6,0.113478151,0.445810717,0,0,4,852,0,0,0,,,best,,0,,SD572.2
SD574,SUB7111,16-Nov,SUB7111,,Brain,,,,,NA,SYBR,29.05,,APHA,Positive,,SUB7111,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1986926,2541,58.24515642,23.18747472,53,0,128,11852,11815,11702,706,,,best,,99.0941877,,
SD575,SUB7112,16-Nov,SUB7112,,Brain,,,,,NA,,24.75,,APHA,Positive,,SUB7112,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1655158,71,1.538455087,1.73106063,1,0,10,7462,931,0,0,,,,,7.808437474,,
SD576,SUB7113,16-Nov,SUB7113,,Brain,,,,,NA,,15.76,,Glasgow;APHA,Positive,,SUB7113,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1767891,1980,43.22888535,44.88991023,21,0,179,11807,11734,6430,2360,,,best,,98.41482848,,
SD576.sg,SUB7114,16-Nov,SUB7114,,Salivary gland,,,,,NA,,22.82,,APHA,Positive,,SUB7114,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2401639,49,1.053510023,1.319331592,1,0,7,6292,460,0,0,,,best,,3.858089407,,SD576.2
SD577,SUB7116,16-Nov,SUB7116,,Brain,,,,,NA,SYBR,25.94,,FIELD;APHA,Positive,,SUB7116,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1176595,503,11.49232576,5.192341797,11,0,28,11810,11142,904,0,,,,,93.44963516,,SD577.2
SD577.sg,SUB7115,16-Nov,SUB7115,,Salivary gland,,,,,NA,SYBR,29.52,,FIELD;APHA,Positive,,SUB7115,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2136696,0,0,0,0,0,,,,,,,,,,0,,SD577
SD578,SUB7117,16-Nov,SUB7117,,Brain,,,,,NA,SYBR,36.46,,APHA,Inconclusive,,SUB7117,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1999408,0,0,0,0,0,,,,,,,,,,0,,
SD579,SUB7118,16-Nov,SUB7118,,Brain,,,,,NA,SYBR,28.83,,APHA,Positive,,SUB7118,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2739048,124954,2155.559171,801.5881228,1995,0,4882,11903,11899,11849,11822,,,best,,99.79870838,,
SD580,SUB7119,16-Nov,SUB7119,,Brain,,,,,NA,SYBR,24.94,,APHA,Positive,,SUB7119,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2255958,16408,334.313344,146.4934828,307,0,1026,11899,11840,11828,11745,,,best,,99.30386648,,
SD580.sg,SUB7120,16-Nov,SUB7120,,Salivary gland,,,,,NA,SYBR,28.61,,APHA,Positive,,SUB7120,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1820043,0,0,0,0,0,,,,,,,,,,0,,SD580.2
SD582,SUB7121,16-Nov,SUB7121,,Brain,,,,,NA,,14.95,,APHA,Positive,,SUB7121,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1685286,1684,38.82932148,18.47034482,35,0,92,11826,11715,10606,0,,,best,,98.25547262,,
SD583,SUB7122,16-Nov,SUB7122,,Brain,,,,,NA,,24.27,,APHA,Positive,,SUB7122,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2272077,8002,177.1595236,68.68437777,167,0,365,11873,11857,11742,10791,,,best,,99.44644804,,
SD584,SUB7123,16-Nov,SUB7123,,Brain,,,,,NA,SYBR,24.27,,APHA,Positive,,SUB7123,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3708366,1072,23.85129581,8.293705548,24,0,51,11852,11736,8378,0,,,best,,98.43160278,,
SD585,SUB7124,16-Nov,SUB7124,,Brain,,,,,NA,,21.59,,APHA,Positive,,SUB7124,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3057246,7,0.156168749,0.576566216,0,0,5,1006,31,0,0,,,best,,0.260001677,,
SD586,SUB7125,16-Nov,SUB7125,,Brain,,,,,NA,SYBR,28.38,,APHA,Positive,,SUB7125,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1486072,265,6.147529984,3.375453082,6,0,19,11631,7812,0,0,,,best,,65.52042271,,
SD587,SUB7126,16-Nov,SUB7126,,Brain,,,,,NA,SYBR,27.74,,APHA,Positive,,SUB7126,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1780088,2921,67.01459364,29.35949862,64,0,169,11848,11746,11559,1760,,,best,,98.51547429,,
SD590,SUB7127,16-Nov,SUB7127,,Brain,,,,,NA,SYBR,22.98,,APHA,Positive,,SUB7127,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1618148,3127,71.74796612,29.06206681,70,0,144,11914,11818,11604,2276,,,best,,99.11934916,,
SD591,SUB7128,16-Nov,SUB7128,,Brain,,,,,NA,SYBR,23.52,,APHA,Positive,,SUB7128,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,2113210,544,12.34454416,8.769937922,10,0,49,11745,10142,2217,0,,,best,,85.06248427,,
SD591.sg,SUB7129,16-Nov,SUB7129,,Salivary gland,,,,,NA,SYBR,34.81,,APHA,Inconclusive,,SUB7129,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,996947,0,0,0,0,0,,,,,,,,,,0,,SD591.2
SD594,SUB7130,16-Nov,SUB7130,,Brain,,,,,NA,SYBR,23.43,,APHA,Positive,,SUB7130,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,3065463,6456,135.9571417,59.67107535,126,0,345,11912,11834,11755,8105,,,best,,99.25354357,,
SD594.sg,SUB7131,16-Nov,SUB7131,,Salivary gland,,,,,NA,SYBR,21.74,,APHA,Positive,,SUB7131,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1167903,1,0.025329196,0.157129559,0,0,1,302,0,0,0,,,best,,0,,SD594.2
SD595,SUB7132,16-Nov,SUB7132,,Brain,,,,,NA,SYBR,27.19,,APHA,Positive,,SUB7132,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1778610,336,8.074058542,4.83422213,7,0,24,11621,8859,246,0,,,best,,74.30176969,,
SD595.sg,SUB7133,16-Nov,SUB7133,,Salivary gland,,,,,NA,SYBR,14.9,,APHA,Positive,,SD595.sg,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1158677,2112,49.08504571,15.17227516,49,0,103,11905,11843,11666,10,,,best,,99.32902793,,SD595.2
SD596,SUB7134,16-Nov,SUB7134,,Brain,,,,,NA,SYBR,21.94,,APHA,Positive,,SUB7134,NGSMay18,1-May-18,UK,APHA,BTF856,illumina,nextseq,,single_run,,NA,metagenomic,,,1872093,125,2.840057033,2.399812468,2,0,11,10489,2779,0,0,,,best,,23.30789231,,
